category,keyword
Sports,T20 World Cup
Health,Omicron
Tragedy,Bipin Rawat Death
"Festival, Days",Independence Day
Business,Zomato IPO
Business,PayTM IPO
Business,nykaa IPO
Elections,West Bengal Election
Health,coronavirus
World,Taliban
Governance,Air India Divestment
Sports,Neeraj Chopra
Entertainment,Raj Kundra
"Violence, war",Myanmar coup
Business,NFT
Politics,Farmers Protest
Entertainment,Miss Universe
Tragedy,Lakhimpur Kheri
Tragedy,Cyclone Tauktae
Tragedy,Cyclone Yaas
Tragedy,Cyclone Gulab
Tragedy,Cyclone Jawad
Politics,Pegasus
Entertainment,Aryan Khan
Elections,UP Election
Politics,Bulli Bai app
Tragedy,Vaishno Devi stampede
"Festival, Days",Ayodhya Deepotsav
"Violence, war",Assam Mizoram Border Dispute
Tragedy,Uttarakhand flood
Elections,KMC Election 2021 Results
Politics,Panama Papers
Sports,Vijay Hazare Trophy
Sports,Novak Djokovic
World,Suez Canal Crisis
Business,cryptocurrency
"Festival, Days",Kumbh Mela
Sports,Tokyo Olympics
health,Delta variant
Business,Jack Dorsey quits
"Violence, war",Nagaland Killings
Sports,IPL Auction
Business,Pandora Papers
Sports,India vs South Africa
Sports,Eurocup
Health,COVID Vaccine
Business,Elon Musk
Entertainment,Vicky Kaushal
Sports,bajrang Punia
Sports,P V Sindhu
Sports,Sushil Kumar
Sports,Paralympics
Sports,IPL
Entertainment,Shershaah
Entertainment,Sooryavanshi
Entertainment,Drishyam 2
health,Bird Flu
Sports,Copa America
Sports,Wimbledon
Sports,English Premier League
